taxonomy_lvl1,taxonomy_lvl2,annotation,n,color_by_variable,DET,GES,NSI,EP,ESmu
Neuron,Neuron,n01.Hdc,50,Neuron,2255,1638,309,693,2645
Neuron,Neuron,n02.Gm8773-Tac1,83,Neuron,2640,2134,282,642,3178
Neuron,Neuron,n03,30,Neuron,2021,1455,290,635,2404
Neuron,Neuron,n04.Sst-Nts,70,Neuron,3169,2486,274,571,3772
Neuron,Neuron,n05.Nfix-Htr2c,35,Neuron,2241,1401,164,388,2591
Neuron,Neuron,n06.Oxt,36,Neuron,1467,1501,218,532,2127
Neuron,Neuron,n07,279,Neuron,2408,955,574,844,2604
Neuron,Neuron,n08,287,Neuron,2810,1098,454,533,2935
Neuron,Neuron,n09.Th-Slc6a3,202,Neuron,2063,816,463,698,2227
Neuron,Neuron,n10.Ghrh,504,Neuron,3313,2232,837,1061,3673
Neuron,Neuron,n11.Th-Cxcl12,327,Neuron,2992,1620,556,992,3331
Neuron,Neuron,n12.Agrp-Sst,539,Neuron,3747,3000,682,1081,4333
Neuron,Neuron,n13.Agrp-Gm8773,1747,Neuron,3943,4688,968,1374,5351
Neuron,Neuron,n14.Pomc-Ttr,512,Neuron,3431,1731,524,708,3728
Neuron,Neuron,n15.Pomc-Anxa2,369,Neuron,3508,3198,526,789,4161
Neuron,Neuron,n16.Rgs16-Vip,474,Neuron,1774,934,1101,1537,2280
Neuron,Neuron,n17.Rgs16-Dlx1,106,Neuron,1645,554,301,428,1781
Neuron,Neuron,n18.Rgs16-Slc17a6,258,Neuron,1858,564,529,673,2068
Neuron,Neuron,n19.Gpr50,67,Neuron,1691,938,350,725,1934
Neuron,Neuron,n20.Kiss1-Tac2,657,Neuron,3062,1722,810,1169,3471
Neuron,Neuron,n21.Pomc-Glipr1,310,Neuron,3699,1949,509,760,3995
Neuron,Neuron,n22.Tmem215,752,Neuron,3182,1203,639,897,3517
Neuron,Neuron,n23.Sst-Unc13c,552,Neuron,2872,1421,655,974,3144
Neuron,Neuron,n24.Sst-Pthlh,246,Neuron,3363,2048,579,961,3611
Neuron,Neuron,n25.Th-Lef1,229,Neuron,2290,846,418,607,2477
Neuron,Neuron,n26.Htr3b,486,Neuron,3936,2230,569,883,4211
Neuron,Neuron,n27,431,Neuron,2469,1050,592,991,2791
Neuron,Neuron,n28.Qrfp,66,Neuron,1544,902,340,678,1756
Neuron,Neuron,n29.Nr5a1-Adcyap1,745,Neuron,3510,3044,1318,1874,4038
Neuron,Neuron,n30.Nr5a1-Nfib,316,Neuron,2183,817,629,838,2370
Neuron,Neuron,n31.Fam19a2,171,Neuron,2736,1380,428,724,2981
Neuron,Neuron,n32.Slc17a6-Trhr,342,Neuron,3824,2206,507,821,4050
Neuron,Neuron,n33.unassigned(1),420,Neuron,2030,650,537,729,2258
Neuron,Neuron,n34.unassigned(2),1381,Neuron,2510,1276,894,1305,3100
Glia,Ependymal_cell,s01.Ependymocy1,37,Glia,3369,3900,394,1627,4249
Glia,Ependymal_cell,s02.Ependymocy2,430,Glia,3524,3321,1624,2463,3875
Glia,Oligodendrocyte,s03.Oligodendro1,23,Glia,1449,1387,549,1034,1701
Glia,Oligodendrocyte,s04.Oligodendro2,12,Glia,1383,1665,389,946,1840
Glia,Oligodendrocyte,s05.Oligodendro3,96,Glia,1695,1477,967,1261,1888
Glia,Oligodendrocyte,s06.Oligodendro4,392,Glia,1736,1547,1586,1570,2084
Glia,Oligodendrocyte,s07.Oligodendro5,39,Glia,1616,1528,383,890,1914
Endocrine,Pars_tuberalis,s08.Pars_Tuber1A,42,Endocrine,3379,4332,254,1072,4748
Endocrine,Pars_tuberalis,s09.Pars_Tuber1B,15,Endocrine,1230,948,442,1066,1445
Endocrine,Pars_tuberalis,s10.Pars_Tuber1C,93,Endocrine,3305,3614,644,1994,4018
Vascular,Endothelial_cell,s11.Endothelial,240,Vascular,2631,2316,1486,2112,2876
Vascular,Mural_cell,s12.Mural_Cells1,29,Vascular,1739,1483,547,1249,1915
Vascular,Mural_cell,s13.Mural_Cells2,55,Vascular,1944,1825,842,2002,2347
Immune,Perivascular_macrophages_and_microglia,s14.PVMs,26,Immune,1388,1094,670,1271,1526
Immune,Perivascular_macrophages_and_microglia,s15.Microglia,304,Immune,2009,1711,1588,2110,2358
Other,Fibroblast,s16.Fibroblasts1,14,Other,1550,1495,524,1424,1778
Other,Fibroblast,s17.Fibroblasts2,38,Other,1355,1182,676,1245,1558
Other,Fibroblast,s18.Fibroblasts3,120,Other,1641,1378,1137,1714,2006
Endocrine,Pars_tuberalis,s19.Parstuber2A,230,Endocrine,2153,1687,929,1784,2483
Endocrine,Pars_tuberalis,s20.Parstuber2B,8,Endocrine,571,516,408,692,858
Glia,Oligodendrocyte,s27.Oligodendro6,185,Glia,2236,1605,888,1346,2475
Glia,Oligodendrocyte,s28.NG2_OPC1,23,Glia,1466,938,468,943,1588
Glia,Oligodendrocyte,s29.NG2_OPC2,604,Glia,2380,1577,1451,1871,2790
Glia,Tanycyte,s30.b2_tanycytes1,592,Glia,2896,2063,1447,1823,3317
Glia,Tanycyte,s31.b2_tanycytes2,592,Glia,3136,2321,1523,2100,3526
Glia,Astrocyte,s32.Astrocytes,99,Glia,1606,1462,741,1483,1976
Glia,Tanycyte,s33.a1_tanycytes2,68,Glia,1594,1188,591,1355,1869
Glia,Tanycyte,s34.a1_tanycytes1,334,Glia,2381,2006,1319,1918,2714
Glia,Tanycyte,s35.b1_tanycytes,1933,Glia,2693,2628,1986,2373,3640
Glia,Tanycyte,s36.a2_tanycytes,1169,Glia,2315,2005,1802,2212,3129
