annotation,Class,Description,NCells,Neurotransmitter,Probable_location,Region,LeafOrder,TaxonomyRank1,TaxonomyRank2,TaxonomyRank3,TaxonomyRank4,Comment,TaxonomyRank4_reduced1,tax_order_idx_mb_fig1c,Neurotransmitter_class,Neurotransmitter_class_linnarson,nt.Acetylcholine,nt.Adrenaline,nt.Dopamine,nt.GABA,nt.GLYT1,nt.GLYT2,nt.Nitric oxide,nt.Noradrenaline,nt.Serotonin,nt.VGLUT1,nt.VGLUT2,nt.VGLUT3,nt.<NA>,color_by_variable,DET,GES,NSI,EP,ESmu
ABC,Vascular,Vascular leptomeningeal cells,137,NA,Pia/meninges surface,CNS,251,Vascular cells,Vascular cells,Vascular cells,Vascular and leptomeningeal cells,"Have Dcn,Gjb2,Ptgds. Lack Vtn,Cldn5,Lum,Col1a1 (neural crest origin is uncertain)",Vascular,2,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Vascular,2701,2477,1265,2351,3275
ACBG,Astrocytes,Bergmann glia,921,NA,Cerebellum,Cerebellum,237,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,1502,1056,2126,2170,2689
ACMB,Astrocytes,Dorsal midbrain Myoc-expressing astrocyte-like,861,NA,Dorsal midbrain,Midbrain dorsal,236,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,2939,2126,2169,2588,3717
ACNT1,Astrocytes,"Non-telencephalon astrocytes, protoplasmic",6642,NA,Non-telencephalon,"Hypothalamus,Thalamus,Midbrain dorsal,Midbrain ventral,Pons,Medulla,Spinal cord",234,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,1721,1343,2414,3364,4080
ACNT2,Astrocytes,"Non-telencephalon astrocytes, fibrous",2568,NA,Non-telencephalon,"Hypothalamus,Thalamus,Midbrain dorsal,Midbrain ventral,Pons,Medulla,Spinal cord",235,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,2131,1603,2543,2875,3620
ACOB,Astrocytes,Olfactory astrocytes,1438,NA,Olfactory bulb periglomerular layer,Olfactory bulb,233,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,2422,1796,2330,2574,3421
ACTE1,Astrocytes,"Telencephalon astrocytes, fibrous",2974,NA,Telencephalon,Telencephalon,231,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,2098,1610,2225,2476,3271
ACTE2,Astrocytes,"Telencephalon astrocytes, protoplasmic",3973,NA,Telencephalon,Telencephalon,232,Glia,CNS glia,Astroependymal cells,Astrocytes,nan,Astrocytes,5,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Astrocytes,2002,1468,2484,2877,3587
CBGRC,Neurons,"Granule neurons, cerebellum",4193,Glutamate (VGLUT1),Cerebellum,Cerebellum,176,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,Almost half are clearly Calb2-negative,Hindbrain neurons,12,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Neurons,616,419,2257,1843,2546
CBINH1,Neurons,"Molecular layer interneurons, cerebellum",662,"GABA, Nitric oxide","Cerebellum, molecular layer",Cerebellum,174,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,nan,Hindbrain neurons,12,Inhibitory,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,1537,920,1565,1524,2221
CBINH2,Neurons,"Granular layer interneurons, cerebellum",17,"GABA, Glycine (GLYT2)","Cerebellum, granular layer",Cerebellum,172,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,nan,Hindbrain neurons,12,Inhibitory,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Neurons,1297,920,436,814,1530
CBNBL1,Neurons,"Neuroblasts, cerebellum",163,Glutamate (VGLUT2),"Hindbrain (pons, medulla cerabellum)","Pons,Medulla,Cerebellum",178,Neurons,CNS neurons,Immature neural,Glutamatergic neuroblasts,nan,Neuroblasts,21,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,1462,732,859,878,1774
CBNBL2,Neurons,"Neuroblasts, cerebellum",293,NA,Cerabellum,Cerebellum,177,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,nan,Hindbrain neurons,12,Missing neurotransmitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Neurons,567,320,1649,1293,1681
CBPC,Neurons,Purkinje cells,84,GABA,"Cerebellum, border of granular layer and molecular layer",Cerebellum,175,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,nan,Hindbrain neurons,12,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,927,741,1069,1397,1547
CHOR,Ependymal,Chorid plexus epithelial cells,458,NA,"Medulla,Thalamus","Medulla,Thalamus",224,Glia,CNS glia,Astroependymal cells,Choroid epithelial cells,nan,Other CNS glia,6,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ependymal,3818,3582,1869,2943,4424
COP1,Oligos,Committed oligodendrocytes cells (COP),1532,NA,CNS,CNS,215,Glia,CNS glia,Oligodendrocytes,Oligodendrocytes,nan,Oligodendrocytes,7,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Oligos,3292,2220,2026,2376,4135
COP2,Oligos,"Committed oligodendrocytes cells (COP), pons/medulla specific",254,NA,Pons/medulla (possible batch effect),CNS,216,Glia,CNS glia,Oligodendrocytes,Oligodendrocytes,Possible batch effect,Oligodendrocytes,7,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Oligos,2448,1678,1627,2079,2949
CR,Neurons,"Cajal-Retzius cells, hippocampus",222,Glutamate (VGLUT2),Dentate gyrus molecular layer,Dentate gyrus,134,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,1712,803,894,1078,2140
DECHO1,Neurons,"Cholinergic neurons, septal nucleus, Meissnert and diagonal band",114,"Acetylcholine, Glutamate (VGLUT3), Nitric oxide","Medial septal nuclues, diagonal band nucleus and nucleus basalis of Meissnert",Hypothalamus,68,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Excitatory,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,Neurons,4790,5846,454,992,6246
DECHO2,Neurons,"Cholinergic neurons, habenula",207,"Acetylcholine,Glutamate (VGLUT1,VGLUT3)",Habenula,Thalamus,135,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Neurons,3173,1902,679,701,3424
DEGLU1,Neurons,"Excitatory neurons, thalamus",1058,"Glutamate (VGLUT1,VGLUT2)",Posterior thalamus,Thalamus,137,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Neurons,6713,6877,1294,2119,7398
DEGLU2,Neurons,"Excitatory neurons, hypothalamus",257,"Glutamate (VGLUT1,VGLUT2)",Subparafascicular nucleus,Hypothalamus,138,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Neurons,5825,6609,684,1046,6856
DEGLU3,Neurons,"Excitatory neurons, thalamus",1113,Glutamate (VGLUT2),Paraventricular nucleus of the thalamus,Thalamus,139,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,6304,5811,1153,1720,6837
DEGLU4,Neurons,"Excitatory neurons, thalamus",101,Glutamate (VGLUT2),Parafascicular nucleus,Thalamus,140,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,3834,3339,377,802,4238
DEGLU5,Neurons,"Excitatory neurons, midbrain",426,Glutamate (VGLUT1),Anterior pretectal nucleus,Midbrain dorsal,123,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,"doi:10.1007/s00429-011-0348-3Â Very similar to Thalamus cluster, changed",Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Neurons,4949,3810,649,876,5317
DEINH1,Neurons,"Inhibitory neurons, thalamus",339,GABA,Reticular nucleus of the thalamus (Sst low),Thalamus,47,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,4580,3647,611,775,4902
DEINH2,Neurons,"Inhibitory neurons, thalamus",167,GABA,Reticular nucleus of the thalamus,Thalamus,48,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,3892,2855,498,743,4181
DEINH3,Neurons,"Inhibitory neurons, hypothalamus",323,GABA,Subthalamic nucleus,Hypothalamus,152,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,5359,4751,614,1149,5795
DEINH4,Neurons,"Inhibitory neurons, thalamus",57,"GABA, Nitric oxide",Paraventricular nucleus of the thalamus (best fit) but do not fit with Nmu expression,Thalamus,85,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,2948,2083,380,704,3228
DEINH5,Neurons,"Peptidergic neurons, hypothalamus",308,GABA,"Medial preoptic nucleus, Bed nuclei of the stria terminalis anterior division",Hypothalamus,86,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,3794,2294,690,770,4161
DEINH6,Neurons,"Peptidergic neurons, hypothalamus",12,GABA,"Arcuate hypothalamic nucleus (probably, Npy, Agrp cells)",Hypothalamus,91,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,1394,697,406,661,1549
DEINH7,Neurons,"Inhibitory neurons, hypothalamus",182,GABA,"Suprachiasmatic nucleus, Medial preoptic nucleus",Hypothalamus,93,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,981,477,1012,934,1480
DEINH8,Neurons,"Inhibitory neurons, hypothalamus",120,GABA,"Suprachiasmatic nucleus, Medial preoptic nucleus",Hypothalamus,92,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,1334,589,673,695,1591
DETPH,Neurons,"Neuroblast-like, habenula",7,NA,Medial habenula,Thalamus,33,Neurons,CNS neurons,Immature neural,Non-glutamatergic neuroblasts,Tph1,Neuroblasts,21,Missing neurotransmitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Neurons,1202,780,535,714,1338
DGGRC1,Neurons,"Granule neuroblasts, dentate gyrus",983,Glutamate (VGLUT1),Dentate gyrus,Dentate gyrus,25,Neurons,CNS neurons,Telencephalon projecting neurons,Dentate gyrus granule neurons,nan,Other CNS neurons,22,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Neurons,3354,2139,1552,1513,3944
DGGRC2,Neurons,"Granule neurons, dentate gyrus",3385,Glutamate (VGLUT1),Dentate gyrus,Dentate gyrus,26,Neurons,CNS neurons,Telencephalon projecting neurons,Dentate gyrus granule neurons,nan,Other CNS neurons,22,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Neurons,3539,2258,1752,1947,4380
DGNBL1,Neurons,"Granule neuroblasts, dentate gyrus",159,NA,Dentate gyrus,Dentate gyrus,35,Neurons,CNS neurons,Immature neural,Non-glutamatergic neuroblasts,nan,Neuroblasts,21,Missing neurotransmitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Neurons,2004,965,1106,1306,2398
DGNBL2,Neurons,"Granule neuroblasts, dentate gyrus",1445,NA,Dentate gyrus,Dentate gyrus,34,Neurons,CNS neurons,Immature neural,Non-glutamatergic neuroblasts,nan,Neuroblasts,21,Missing neurotransmitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Neurons,2426,1674,1796,1937,3270
ENMFB,Vascular,Enteric mesothelial fibroblasts,49,NA,Enteric nervous system,Enteric nervous system,250,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,"lack Vtn,Igf2,Gjb2 (neural crest origin is uncertain)",Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Vascular,2649,2199,857,1780,3057
ENT1,Neurons,Nitrergic enteric neurons,14,Nitric oxide,Myenteric plexus of small intestine,Enteric nervous system,182,Neurons,PNS neurons,Enteric neurons,Enteric neurons,No corresponding Marklund cluster,Enteric neurons,10,Nitric oxide,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,1923,2890,220,807,3198
ENT2,Neurons,Nitrergic enteric neurons,107,Nitric oxide,Myenteric plexus of small intestine,Enteric nervous system,183,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #2,Enteric neurons,10,Nitric oxide,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,4769,6396,508,1460,6709
ENT3,Neurons,Nitrergic enteric neurons,155,Nitric oxide,Myenteric plexus of small intestine,Enteric nervous system,184,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #2,Enteric neurons,10,Nitric oxide,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,4325,5110,781,1764,5550
ENT4,Neurons,Cholinergic enteric neurons,155,Acetylcholine,Myenteric plexus of small intestine,Enteric nervous system,185,Neurons,PNS neurons,Enteric neurons,Enteric neurons,No corresponding Marklund cluster,Enteric neurons,10,Acetylcholine,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,4455,4613,922,1875,5284
ENT5,Neurons,Cholinergic enteric neurons,259,Acetylcholine,Myenteric plexus of small intestine,Enteric nervous system,186,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #4,Enteric neurons,10,Acetylcholine,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,3469,3446,1124,1582,4145
ENT6,Neurons,Cholinergic enteric neurons,118,Acetylcholine,Myenteric plexus of small intestine,Enteric nervous system,187,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #6,Enteric neurons,10,Acetylcholine,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,3744,4193,638,1290,4716
ENT7,Neurons,"Cholinergic enteric neurons, VGLUT2",31,"Glutamate (VGLUT2),Acetylcholine",Myenteric plexus of small intestine,Enteric nervous system,188,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #5,Enteric neurons,10,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,2868,3405,274,976,3891
ENT8,Neurons,"Cholinergic enteric neurons, VGLUT2",97,"Glutamate (VGLUT2),Acetylcholine",Myenteric plexus of small intestine,Enteric nervous system,189,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #3,Enteric neurons,10,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,3604,5573,466,1315,5920
ENT9,Neurons,Cholinergic enteric neurons,169,Acetylcholine,Myenteric plexus of small intestine,Enteric nervous system,190,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #1,Enteric neurons,10,Acetylcholine,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neurons,4498,6260,849,2137,6487
ENTG1,PeripheralGlia,"Enteric glia, proliferating",163,NA,Enteric nervous system,Enteric nervous system,243,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,Foxd3 positive,Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,4367,4436,1380,2744,4994
ENTG2,PeripheralGlia,Enteric glia,2160,NA,Enteric nervous system,Enteric nervous system,244,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,nan,Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,3393,2919,2796,3130,4411
ENTG3,PeripheralGlia,Enteric glia,1135,NA,Enteric nervous system,Enteric nervous system,245,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,Foxd3 positive,Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,3896,3292,2508,2765,4555
ENTG4,PeripheralGlia,Enteric glia,4044,NA,Enteric nervous system,Enteric nervous system,246,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,"have some neuronal markers like Camk2b,Nrn1,Klk8. Foxd3 positive",Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,4000,3504,2711,3309,5076
ENTG5,PeripheralGlia,Enteric glia,1132,NA,Enteric nervous system,Enteric nervous system,247,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,Foxd3 positive,Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,3604,3029,2498,2776,4346
ENTG6,PeripheralGlia,Enteric glia,811,NA,Enteric nervous system,Enteric nervous system,248,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,nan,Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,3557,2934,2328,2559,4186
ENTG7,PeripheralGlia,Enteric glia,1041,NA,Enteric nervous system,Enteric nervous system,249,Glia,Neural crest-like glia,Neural crest-like glia,Enteric glia,Foxd3 positive,Enteric glia,3,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PeripheralGlia,4072,3319,2396,2925,4815
EPEN,Ependymal,Ependymal cells,774,NA,Brain,Brain,227,Glia,CNS glia,Astroependymal cells,Ependymal cells,nan,Other CNS glia,6,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ependymal,5629,5225,2179,3761,6104
EPMB,Ependymal,"Ependymal cells, midbrain",69,NA,Dorsal midbrain pia,Midbrain dorsal,228,Glia,CNS glia,Astroependymal cells,Ependymal cells,"Gfap high, no Aqp4,Gja1,Foxj1",Other CNS glia,6,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ependymal,1714,1191,934,1824,2166
EPSC,Ependymal,"Ependymal cells, spinal cord",414,NA,Spinal cord,Spinal cord,226,Glia,CNS glia,Astroependymal cells,Ependymal cells,"low Aqp4, many immidate early genes",Other CNS glia,6,Non-neuron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ependymal,3282,2877,1809,2655,3869
HBADR,Neurons,Adrenergic cell groups of the medulla,40,"Adrenaline, Glutamate (VGLUT3)","Nucleus of the solitary tract, adrenergic cell groups C1-3",Medulla,71,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Excitatory,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Neurons,3404,2899,304,893,3888
HBCHO1,Neurons,"Cholinergic neurons, hindbrain",10,"Acetylcholine,Glutamate (VGLUT2)",Medulla (several nuclei),Medulla,161,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,2348,2687,223,670,3178
HBCHO2,Neurons,"Cholinergic neurons, hindbrain",22,"Acetylcholine, Glutamate (VGLUT2), Nitric oxide","Medial pontine nuclei, reticulotegmental nuclei",Pons,162,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,"Low Chat,Slc5a7",Hindbrain neurons,12,Excitatory,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,Neurons,4025,5187,127,636,5461
HBCHO3,Neurons,Afferent nuclei of cranial nerves VI-XII,72,"Acetylcholine, Nitric oxide",Afferent nuclei of cranial nerves VI-XII,Medulla,70,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Acetylcholine,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,5640,6929,240,1307,7208
HBCHO4,Neurons,Afferent nuclei of cranial nerves III-V,52,"Acetylcholine, Nitric oxide",Afferent nuclei of cranial nerves III-V,Pons,69,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Acetylcholine,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Neurons,3973,4404,255,650,4975
HBGLU1,Neurons,"Excitatory neurons, hindbrain",52,"Glutamate (VGLUT2, VGLUT3)",Inferior olivary complex,Medulla,136,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Neurons,3961,3950,299,855,4686
HBGLU10,Neurons,"Excitatory neurons, hindbrain",80,Glutamate (VGLUT2),Nucleus of the solitary tract,Medulla,118,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,nan,Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Neurons,2296,1452,489,1103,2583
HBGLU2,Neurons,"Excitatory neurons, hindbrain",200,"Glutamate (VGLUT2), Nitric oxide",Nucleus of the solitary tract,Medulla,120,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,Neurons,5118,5136,491,1667,5811
HBGLU3,Neurons,"Excitatory neurons, hindbrain",107,"Glutamate (VGLUT2), Nitric oxide",Nucleus of the solitary tract,Medulla,119,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,Neurons,4003,3123,365,1095,4294
HBGLU4,Neurons,"Excitatory neurons, hindbrain",7,"Glutamate (VGLUT2), Nitric oxide",Medial vestibular nucleus and Nucleus prepositus,Medulla,163,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,Neurons,2560,2755,194,616,3281
