annotation,p.value,estimate,std.error,FDR < 0.05
MEINH2,6.08252643475695e-14,0.7783108094391136,0.10486000216159094,TRUE
MEGLU2,2.2132702666807906e-12,0.7744879019185541,0.11177659146064914,TRUE
TEGLU4,1.469964224922524e-11,0.5998147919045969,0.0901311117084715,TRUE
DEINH3,1.4967903261299947e-11,0.7183178054764091,0.1079812597030299,TRUE
MEGLU1,1.612289269926942e-11,0.7139396733152154,0.10750055500347029,TRUE
SCINH2,1.634743820500456e-11,1.012955082602555,0.15257139854694948,TRUE
TEINH11,4.4372940268552976e-11,0.6266437854332984,0.09655590608838878,TRUE
TEGLU10,1.7304913821414976e-10,0.5774935444714092,0.09194138864478503,TRUE
MEINH3,1.8388096347203564e-10,0.6977089978076443,0.11124835371261031,TRUE
TEINH12,3.629463786510612e-10,0.6421066056054765,0.10415995888603481,TRUE
MEGLU10,8.944864509853639e-10,0.6794154571621792,0.11286186157327872,TRUE
DEGLU5,2.7010880341062854e-9,0.6772061163040233,0.11600102663589242,TRUE
MEINH13,2.7384784705455718e-9,0.7527510847495095,0.12899214777480197,TRUE
TEGLU24,5.9418955052891245e-9,0.5096775963625797,0.08934199485738861,TRUE
TEGLU11,5.991080856681731e-9,0.5161790116457404,0.09050396722855546,TRUE
HBGLU3,8.120505346006993e-9,0.683529568196122,0.12095245973810431,TRUE
MEGLU11,9.762319342578385e-9,0.6290853160094078,0.11194840624039566,TRUE
HBGLU5,9.945912346040559e-9,0.6028773664894777,0.10734624208853509,TRUE
TEGLU23,1.4279666695535823e-8,0.5205907861664699,0.09374616317971833,TRUE
TEINH1,3.7775993558831325e-8,0.6138527344715154,0.11409242704938713,TRUE
TEGLU8,4.738521679120388e-8,0.4706984570368001,0.08815762685052152,TRUE
TEINH16,5.0760571440738956e-8,0.5420473985885539,0.10175917191839104,TRUE
MEINH4,6.705277293631908e-8,0.6834194429279866,0.12953719753962548,TRUE
SCINH7,7.003297586426287e-8,0.7767079985793774,0.14744280576682364,TRUE
HBINH5,1.4380313707135347e-7,0.48883994617260795,0.09521815142484012,TRUE
TEGLU21,1.466239182621223e-7,0.5758117871402638,0.11223893034036134,TRUE
HBINH9,1.8648501225649757e-7,0.6547417076088629,0.12876721489243542,TRUE
TEINH19,2.5315359031772985e-7,0.49751526475467617,0.09898321703546054,TRUE
MEGLU6,3.489528960533313e-7,0.5482860250544874,0.11044771606603407,TRUE
MEGLU3,4.545995399083264e-7,0.6712070495921195,0.1366314544929853,TRUE
TEGLU2,5.184639340513105e-7,0.5009329161153849,0.10251020687063282,TRUE
HBINH6,5.388525188106381e-7,0.56505605112902,0.1158127687280153,TRUE
TEINH20,6.41086524079309e-7,0.5594512650780957,0.11547912597115238,TRUE
SCGLU2,6.729735752513866e-7,0.7557363093252412,0.15630708199902507,TRUE
TEGLU18,7.898462319759261e-7,0.4608644957246841,0.09595465742292947,TRUE
TEINH9,9.366232060262692e-7,0.5686842899617692,0.11925463126561087,TRUE
HBINH8,9.467427363549423e-7,0.6929903727406517,0.14538808932950636,TRUE
TEINH18,9.718999981635178e-7,0.4807177819161456,0.10096591395411571,TRUE
TEGLU20,1.0602862752336692e-6,0.5535663725677049,0.11669834048489242,TRUE
TEINH13,1.138963534598965e-6,0.524960628159995,0.11100810709805073,TRUE
TEGLU19,1.2178662712165077e-6,0.562882643832415,0.1193714159837921,TRUE
SCINH3,1.2746103905236292e-6,0.7038214904489116,0.14955534703202902,TRUE
TEGLU3,1.3916739341687155e-6,0.4421234267679283,0.09430735968374487,TRUE
TEGLU9,2.2504543714787405e-6,0.5028033438366393,0.10957655175834992,TRUE
SCINH6,2.863382212695341e-6,0.574336632747756,0.12656217985715673,TRUE
SCINH8,3.3950144101622e-6,0.6258698025611955,0.1390243348091369,TRUE
SCGLU3,3.424951773539031e-6,0.6480600652743889,0.1440132288657949,TRUE
TEINH17,3.61165547690677e-6,0.48174425060972764,0.10732398700531602,TRUE
HBINH2,4.211495331925114e-6,0.5670194360560272,0.12725434516623713,TRUE
HBGLU2,4.2686155484736e-6,0.46456714745548505,0.10432908679964582,TRUE
TEINH10,4.467898568954672e-6,0.4678309167133242,0.10529418254597604,TRUE
SCINH10,5.304271407362168e-6,0.7048766885292533,0.15998161928649118,TRUE
MEGLU9,5.68292921704057e-6,0.5102994965562787,0.11621495404622008,TRUE
MBCHO1,6.7356236064597574e-6,0.5289552557076588,0.12149123845108258,TRUE
TEGLU17,1.0477540781304126e-5,0.39793369822542707,0.09350137052396715,TRUE
SCGLU4,1.1784101706876978e-5,0.5357100250614629,0.12665991741137528,TRUE
TEINH15,1.1910334580847948e-5,0.4183873872102027,0.09897707316481857,TRUE
HYPEP3,1.2852061416290534e-5,0.5782323048820255,0.13734958297230723,TRUE
TEGLU14,1.2903453284366432e-5,0.5079505522652368,0.12068118895936195,TRUE
HBCHO2,1.324359150055749e-5,0.5170146297848971,0.12300682985791812,TRUE
TEINH4,1.713025004806592e-5,0.5130064056193625,0.12378101835154749,TRUE
ENT9,1.7431218215009464e-5,0.3861086508229817,0.09325238709182483,TRUE
TEGLU15,1.7640599519036703e-5,0.4170488582919758,0.10079179254251734,TRUE
MSN1,1.7902324606159974e-5,0.3680855593827472,0.08903125667758731,TRUE
SCINH5,2.2214480408926085e-5,0.5633159041447567,0.13791757203706945,TRUE
DEINH2,2.319878468293416e-5,0.5025987770863599,0.1233568780569248,TRUE
HBINH4,2.4141418051582004e-5,0.5238793113460598,0.12887379947933048,TRUE
HBSER3,2.6859959547926276e-5,0.5013563206070142,0.12409592284523498,TRUE
DEGLU1,3.0284948240323196e-5,0.3512759351367765,0.08756064334405202,TRUE
MEINH10,3.20001618169817e-5,0.40359953554184114,0.10093104628316578,TRUE
MEINH12,3.859811332291794e-5,0.6189953711598762,0.15654464501980028,TRUE
HBINH3,3.868822471657064e-5,0.5214848135383999,0.13190273546088566,TRUE
TEINH3,4.52900976245967e-5,0.536691859819619,0.1370625705414873,TRUE
HBGLU6,4.586542317015357e-5,0.37326558399605503,0.09540039678721744,TRUE
MEGLU7,4.8412832464024224e-5,0.4693810313220967,0.12036836821084218,TRUE
CBGRC,5.2138921256842874e-5,0.5320357989566528,0.1370686616020464,TRUE
HBSER1,5.265990481409848e-5,0.4611168689630075,0.11887191691446651,TRUE
TEGLU7,5.3379246708491864e-5,0.3399065176135782,0.08769967597993228,TRUE
DEINH5,6.316533711376547e-5,0.5040608533552831,0.13145147677798852,TRUE
MEGLU5,6.643968139807927e-5,0.4152473704378193,0.1086431169692979,TRUE
DEINH1,6.925942673134767e-5,0.4370257162867393,0.11464914779133083,TRUE
SCGLU1,7.103792086444136e-5,0.6450553503313335,0.1695026710055084,TRUE
MEGLU8,7.260507764380497e-5,0.45181327152400286,0.11889300935289256,TRUE
HBSER2,8.234911816920293e-5,0.42044087344612613,0.1115579137683306,TRUE
TEGLU5,8.829348644133763e-5,0.40151179505391454,0.10703102221850615,TRUE
MEGLU14,1.2920003451296057e-4,0.4985396163767241,0.13640969505461653,TRUE
DEGLU4,1.3973997399555727e-4,0.44260156037891735,0.12177671806452783,TRUE
OBNBL2,1.5265444091323562e-4,0.4574569683606005,0.1266612302542349,TRUE
OBINH5,1.5831099802089528e-4,0.5318651108431821,0.14764992176728953,TRUE
SCINH9,1.6728905781352615e-4,0.5353957481583855,0.14922552484345514,TRUE
HBGLU9,2.1965049708993706e-4,0.37352983577324367,0.10623379657191999,FALSE
MEINH6,2.2077325174058179e-4,0.475652812500216,0.13533024782711267,FALSE
MEGLU4,2.2159604600651965e-4,0.42577699998617063,0.12117393768795354,FALSE
DGGRC1,2.227833304944211e-4,0.3691288322762347,0.10509466337348175,FALSE
TEINH14,2.5002653118932336e-4,0.4027646088553425,0.11568568949914886,FALSE
TEINH5,2.5432428571480983e-4,0.4250213284776696,0.12223895374561969,FALSE
HBCHO3,2.8156402374337683e-4,0.36504615411228913,0.10582361386818874,FALSE
HBINH7,2.8732418005879707e-4,0.4498718836749272,0.13062119110710046,FALSE
MEINH7,3.0197590319880807e-4,0.47246709347187255,0.13772084494239129,FALSE
TEGLU13,4.595074667426541e-4,0.35379603917284036,0.10672833752667928,FALSE
MSN2,5.192652415289511e-4,0.3014448648129217,0.09188815296155976,FALSE
TECHO,6.607301523220651e-4,0.4151796132895705,0.12926189082889453,FALSE
OBNBL1,9.861576600853844e-4,0.3787304739778129,0.1223703341395117,FALSE
TEGLU22,0.0010022054509978473,0.29208248721539565,0.09452021182580181,FALSE
HBNOR,0.001008768414592305,0.42602851492142213,0.1379528351641246,FALSE
TEINH7,0.0010465430390228564,0.429435140198138,0.1395506704566615,FALSE
SCINH1,0.0011569399878011346,0.46975057017716476,0.1541564144491731,FALSE
HBSER5,0.0012099958784988264,0.3510485620860729,0.1157154741451625,FALSE
DEGLU3,0.0012288658973761979,0.28299437876677297,0.093426875163625,FALSE
ENT8,0.0013226715828746336,0.33131872555682457,0.11019205227456735,FALSE
HBCHO4,0.0013513985188744232,0.3686440001145525,0.12287328633823075,FALSE
HYPEP1,0.0013706440525769398,0.3845870841542746,0.12837181458499378,FALSE
MEINH9,0.0016273045910513905,0.33220961443755664,0.11287690028754978,FALSE
HBGLU7,0.0016424672270826772,0.28443052961699133,0.09673717598133483,FALSE
TEINH8,0.0018124033991970658,0.43212089777369933,0.14851646095542398,FALSE
TEINH21,0.0018437128870204442,0.3409974674707112,0.117414420782683,FALSE
DEGLU2,0.0021677055020899085,0.2908806943919736,0.10195138851261805,FALSE
SCGLU5,0.002239027995882465,0.3506501267523066,0.12334576404634622,FALSE
TEGLU12,0.0022736925507859675,0.2905935927408827,0.10239670451418904,FALSE
SCGLU7,0.0024785323388532184,0.4559204069550622,0.16223444973917306,FALSE
SCINH4,0.002610979981712577,0.44436654835063266,0.15907438263301032,FALSE
SCGLU10,0.0034997216942252328,0.4184125814199284,0.15512454857034638,FALSE
MBDOP1,0.003753910944704369,0.3948323443816776,0.1476656752304452,FALSE
HYPEP2,0.0044172562877847574,0.40230116586895254,0.15362280930806427,FALSE
TEGLU1,0.005139279422302243,0.2899726858776621,0.11297659044759302,FALSE
DECHO1,0.005601480616727453,0.2780737285069249,0.10962287392688456,FALSE
HBSER4,0.00674254836393171,0.2685828102534647,0.10869364326312732,FALSE
TEINH6,0.00798773812025155,0.3423468339800818,0.14206631836684938,FALSE
SEPNBL,0.008318555048733496,0.3996506931544243,0.166874454753396,FALSE
MEINH5,0.009580091124045877,0.29693865146670667,0.12675219440580274,FALSE
MEINH8,0.010180125652076965,0.3472091132150151,0.1496651667773288,FALSE
TEINH2,0.010253367146356494,0.2424834971556067,0.10464468247323146,FALSE
OBDOP1,0.01091559853012174,0.3034958604952739,0.1323259233092792,FALSE
OBNBL5,0.01116280453080035,0.3067155340840106,0.13422790612273972,FALSE
DGGRC2,0.013003542392697704,0.2228400938933487,0.10009246320527083,FALSE
HBGLU10,0.014905981313751954,0.29530834497752384,0.13591134053351248,FALSE
TEGLU6,0.019065086085225825,0.21860684017243318,0.10542135209192481,FALSE
DEINH4,0.021644431844821857,0.28107734314395455,0.13907178815175844,FALSE
SCGLU8,0.022071841841761926,0.33548043632957253,0.16666479698425052,FALSE
CBINH2,0.0231031895033273,0.3097905422272641,0.15538629334936027,FALSE
MBDOP2,0.023413953057779352,0.2646878549337336,0.13314084670319462,FALSE
MEINH14,0.024077885407125296,0.3540696382251824,0.17917016423958376,FALSE
HBCHO1,0.029716552335768563,0.26443654850940435,0.14027505204269525,FALSE
MEINH11,0.031540074313526074,0.28882689882970264,0.15538571750874916,FALSE
TEGLU16,0.03935923494413771,0.20143891851527698,0.1145646572695621,FALSE
PSNF2,0.04157907986122978,0.19791399372440444,0.11421812767022303,FALSE
HBGLU8,0.043667187313678635,0.22064023367500016,0.12904829799843304,FALSE
HBGLU4,0.045542830765857766,0.2376353400089075,0.1406280543773277,FALSE
CBINH1,0.05068828719190974,0.1967059595561952,0.12006536309718738,FALSE
PSPEP3,0.05971598332131201,0.1633245852651986,0.10487963623150835,FALSE
MSN3,0.06016762194017329,0.154655268764526,0.09955519677609873,FALSE
DEINH6,0.06383745481984694,0.26148241652309145,0.1716411231002634,FALSE
SCGLU6,0.06525153585213887,0.20432433040180523,0.13511640268172379,FALSE
OBINH2,0.066425532610446,0.15825142604901765,0.10528751691302633,FALSE
PSPEP8,0.0671097323123382,0.19041857247697477,0.12713600678396675,FALSE
HBGLU1,0.07262468469912121,0.17457104631751244,0.11984835253125396,FALSE
PSNF3,0.08939960805900755,0.15651803147788426,0.11641107021071548,FALSE
NFOL1,0.09052842833919689,0.1183586745909799,0.08848753362087405,FALSE
OBINH3,0.09889565001916245,0.15467350164040042,0.12009457208076134,FALSE
HBADR,0.1028252783366139,0.1608443695853795,0.12708190616995493,FALSE
MSN4,0.10514269472146738,0.12101014315306056,0.09658878217388304,FALSE
DEINH8,0.11582690527537699,0.19715769800339172,0.16482533079793688,FALSE
MEINH1,0.12212854814802543,0.17886520597737882,0.1536034458927483,FALSE
HYPEP5,0.12360141203284934,0.1568029719833981,0.1354998856952749,FALSE
OBINH4,0.1284677821079764,0.14896779150297984,0.13139848875842153,FALSE
DECHO2,0.131479282299182,0.14229576663684046,0.12710986306251867,FALSE
MSN5,0.13683381840979922,0.12539515735000145,0.11454768552282762,FALSE
HYPEP7,0.13994550599883598,0.18671322865970374,0.1727856714029965,FALSE
PSNF1,0.1413132393970194,0.12142832908279476,0.11301134111251122,FALSE
SCGLU9,0.14510519592754562,0.1487784106371039,0.14066218207739103,FALSE
DGNBL2,0.14888118672353676,0.11191170523369363,0.10747486522136945,FALSE
SCINH11,0.1542853481595942,0.14905913792602596,0.14638573786339296,FALSE
DGNBL1,0.17097878330530758,0.12134737832818465,0.1276888237524562,FALSE
OBINH1,0.18352555050271335,0.12061291383219414,0.1337112657123981,FALSE
MFOL2,0.18496865263809226,0.07917803987369246,0.08830727730390564,FALSE
PSNP1,0.18884988608866593,0.08215345016597132,0.09312650594791083,FALSE
PSPEP7,0.20376215706344758,0.10254263294333756,0.12380143700569321,FALSE
PSPEP1,0.23282843650684382,0.08233664908855269,0.1128542870286919,FALSE
CBNBL2,0.2394672302113504,0.10831333108648282,0.15297707871960822,FALSE
DEINH7,0.2414797803764997,0.11282361330278415,0.16081610527316445,FALSE
CBNBL1,0.2499741248938882,0.09760083077216532,0.1446819870683047,FALSE
NFOL2,0.2917247252008064,0.05394590420739158,0.09837575412751103,FALSE
HYPEP6,0.311447642615878,0.06822948092344219,0.13874491661752228,FALSE
HYPEP4,0.35083401630543465,0.05893340678305267,0.15384195307097914,FALSE
ENT5,0.37461112463231805,0.03252216382425422,0.1017362506337773,FALSE
PSNP6,0.4046672891725198,0.022711969564273606,0.09412761922580322,FALSE
OBDOP2,0.44105543123401764,0.019323424589425212,0.13030258111858525,FALSE
HYPEP8,0.4443119858891462,0.021251744672698275,0.15174600422283588,FALSE
PSNP5,0.4620069840123565,0.009680710618105217,0.10149570093819026,FALSE
MFOL1,0.46879125102776864,0.00656336049728203,0.08381244057488006,FALSE
CR,0.4815585417087123,0.006501021293623746,0.14058334599333613,FALSE
PSPEP4,0.4932794106794194,0.0017706075181885348,0.1050985496962323,FALSE
PSPEP2,0.5005440647866221,-1.3952541616099316e-4,0.10230689296953564,FALSE
ENT1,0.510021489844976,-0.003534510818935991,0.14068689954889696,FALSE
OBNBL4,0.5387386926085314,-0.01529328276091122,0.15724389193787866,FALSE
HBINH1,0.5521262267260456,-0.020670081909031305,0.15774176620337202,FALSE
PSPEP6,0.5544949711339586,-0.017308588411079552,0.12631357716089514,FALSE
COP2,0.5670099649153463,-0.017142870182215796,0.10157540090068656,FALSE
MOL1,0.5875832645590751,-0.021474477917305942,0.09702175172707975,FALSE
ENT6,0.6009827208546074,-0.02741194090943229,0.10712122832126171,FALSE
PSNP2,0.6767822150094261,-0.04867384029605444,0.10610576607804945,FALSE
PSPEP5,0.6972698894437711,-0.06647386954885927,0.12868164835980495,FALSE
PSNP3,0.7170818818445257,-0.05310409941224669,0.09248233221713036,FALSE
MSN6,0.717324222294397,-0.07776725720749258,0.1352651544519393,FALSE
ENT4,0.782151345949962,-0.074709570340619,0.09584271118341947,FALSE
CBPC,0.7999336358930067,-0.11255670262019024,0.13377155562095602,FALSE
OBNBL3,0.80269163716876335,-0.09614330372254537,0.11293691309470294,FALSE
SZNBL,0.818726190915133,-0.08573894081332298,0.0941615951953101,FALSE
ENT2,0.8271342935794325,-0.09589682817931051,0.10170057294550103,FALSE
MOL2,0.8502252753339911,-0.09540696418441838,0.09196397367694988,FALSE
SYNOR1,0.8839226788101859,-0.13251245484354118,0.11090034155189411,FALSE
ACNT2,0.8944827222534399,-0.11907824266285261,0.09520296394628062,FALSE
SYCHO2,0.8950981745742981,-0.14318811849569837,0.11417025608781314,FALSE
ENT7,0.8951156759564272,-0.15545317749429138,0.1239402136534543,FALSE
ENT3,0.9003386459751613,-0.12606080371176412,0.09821306220420398,FALSE
ACNT1,0.9036341113256312,-0.12947801786052388,0.099399457810799,FALSE
PSNP4,0.908603380137663,-0.15120259291482396,0.11349248183691626,FALSE
DETPH,0.9215875895556623,-0.21570056722679065,0.15234086713122724,FALSE
MOL3,0.9266512217256978,-0.12911605304850837,0.08896113122240551,FALSE
ACTE2,0.9303284012701476,-0.14273851198230958,0.09655419772085119,FALSE
RGSZ,0.9384756848903488,-0.17449322158781505,0.11314597049388106,FALSE
COP1,0.9391646049123685,-0.14626957158401857,0.09449595928224931,FALSE
SYNOR4,0.9451429750280329,-0.1638675957188582,0.10244406071389627,FALSE
SYNOR3,0.9467243743305438,-0.15344377949145652,0.09507085396251572,FALSE
SYNOR5,0.9544111227427863,-0.2082980799374522,0.12330192277113618,FALSE
SYNOR2,0.9659768563106271,-0.20689281710422225,0.11337580148523496,FALSE
SYCHO1,0.9670562449731948,-0.2459717351277938,0.13372884459226686,FALSE
ACOB,0.984915357033417,-0.20403136836884153,0.0941068911437874,FALSE
EPSC,0.9851798825364249,-0.19229688722392618,0.08840881606689646,FALSE
SCHW,0.9857384223395176,-0.27511109674007705,0.12560766644353222,FALSE
ACTE1,0.9860181920597594,-0.2158401195428467,0.09819730204303719,FALSE
ACBG,0.9891758969667671,-0.24747446778037585,0.10775026096814286,FALSE
OPC,0.9892280648757135,-0.2149468539643578,0.09351319547852303,FALSE
VSMCA,0.993353114405828,-0.25024498606458917,0.10106352988938429,FALSE
ENTG1,0.9939201939137162,-0.2154261786931785,0.08590232001385081,FALSE
HYPEN,0.9952659655465578,-0.26746484808158816,0.10306804448798898,FALSE
ACMB,0.9960360915959667,-0.24398112864285496,0.09187732137830415,FALSE
EPMB,0.9977806463089707,-0.3307998885730712,0.11624813139487325,FALSE
MGL2,0.9979167327143624,-0.2769374129527382,0.09663728252636841,FALSE
SATG1,0.9985556627002478,-0.3511670603150525,0.11784653382120355,FALSE
OEC,0.9989255072779687,-0.2977006196928934,0.09698982290659906,FALSE
MGL1,0.9994429222016314,-0.3232241807065237,0.09912822376501085,FALSE
MGL3,0.999546131883367,-0.31497986828677876,0.09491993035626037,FALSE
SATG2,0.9996509227723331,-0.305638701653213,0.090130770364038,FALSE
ENTG4,0.9997256144515968,-0.2838344360038236,0.08211508897982885,FALSE
RGDG,0.9997262424424679,-0.41685606152852145,0.12057752357754961,FALSE
ABC,0.9997918058091863,-0.3407508201526503,0.0965212273742129,FALSE
EPEN,0.9998266190602709,-0.27042819094981896,0.07557064897267911,FALSE
ENTG5,0.9998422193076824,-0.3065446759395999,0.08507859122732032,FALSE
ENTG6,0.9998858186912898,-0.3197326228608673,0.08673449691038403,FALSE
PER3,0.9999014765932506,-0.4171240260988712,0.11201691006887234,FALSE
ENTG2,0.999964240074244,-0.33253043190226916,0.08371104961957188,FALSE
ENTG7,0.9999708366466667,-0.33807548950557,0.08408352793293503,FALSE
CHOR,0.9999810634930213,-0.35168169428717133,0.08533048341104724,FALSE
PER1,0.9999873946662224,-0.3404155800074744,0.08077603112217233,FALSE
VLMC1,0.9999874541715057,-0.43237321181296545,0.10257031330974746,FALSE
PVM1,0.9999886248744452,-0.40995853764349705,0.09674617200323732,FALSE
PVM2,0.999989805526929,-0.4258256277352098,0.09991113178995059,FALSE
VECV,0.9999908710249346,-0.361188616888841,0.08425846843682594,FALSE
VECA,0.9999963737392252,-0.42130876311845583,0.09387805453177381,FALSE
ENTG3,0.9999966106493494,-0.3767875665503908,0.08368914255401205,FALSE
PER2,0.9999971547731229,-0.37949691479029096,0.0836020878173376,FALSE
VLMC2,0.9999982356599998,-0.43171091734187333,0.09305652702517278,FALSE
ENMFB,0.9999996300814916,-0.5271550315213175,0.10643455198261742,FALSE
VECC,0.9999999866937069,-0.4910680900969611,0.08823359152266634,FALSE
